,current,proj,start,sgf,inf,hidx,hpeaks
Wisconsin,2112,21887.759601287347,2020-02-05 00:00:00.000000,1.1277677204191696,2020-04-27 00:33:00.807306,2020-05-01 05:44:09.600000,1689.0227582237203
Colorado,4574,19866.329175795014,2020-03-05 00:00:00.000000,1.0571345013341047,2020-04-17 13:10:59.217918,2020-04-20 07:58:04.800000,1572.9489409360667
Florida,11537,48721.93979910655,2020-03-01 00:00:00.000000,1.0475631109316121,2020-04-17 04:05:32.527557,2020-04-18 12:20:09.600000,4006.1134103122376
Nebraska,339,15161.21923854831,2020-02-17 00:00:00.000000,1.2,2020-05-06 17:38:29.511122,2020-05-10 10:50:52.800000,1249.4939048387564
New York,114996,526590.9471449343,2020-03-01 00:00:00.000000,1.062124645921535,2020-04-18 09:12:41.502018,2020-04-21 14:06:43.200000,41405.0323288838
Alabama,1633,53847.765349772766,2020-03-13 00:00:00.000000,1.1771360615366149,2020-05-04 03:13:48.363029,2020-05-07 18:31:40.800000,4311.731327774815
Illinois,10357,73962.3002941319,2020-01-24 00:00:00.000000,1.0811533627889094,2020-04-21 23:44:59.922548,2020-04-24 11:55:40.800000,5919.174643062143
Tennessee,3265,11433.267602602848,2020-03-05 00:00:00.000000,1.0529461166107053,2020-04-16 00:25:08.999929,2020-04-17 07:50:52.800000,886.0277546856757
Texas,6566,55566.23700631899,2020-02-12 00:00:00.000000,1.096358864164651,2020-04-23 20:08:20.306181,2020-04-27 02:28:19.200000,4458.052716954209
Iowa,786,3810.260533688469,2020-03-08 00:00:00.000000,1.053149590320535,2020-04-18 00:48:15.636482,2020-04-20 04:27:50.400000,315.8964708413971
Indiana,3953,29444.234454548354,2020-03-06 00:00:00.000000,1.0840374267498736,2020-04-22 09:10:34.127821,2020-04-24 23:58:33.600000,2366.542789401486
Rhode Island,806,2910.8872880657073,2020-03-01 00:00:00.000000,1.0167585668445347,2020-04-14 13:42:09.008070,2020-04-14 14:45:36.000000,267.3501619911221
Minnesota,865,2234.888711298702,2020-03-06 00:00:00.000000,1.0083572362532887,2020-04-10 19:58:05.871143,2020-04-12 19:19:12.000000,188.08642104853146
Kansas,701,3209.822175807006,2020-03-07 00:00:00.000000,1.0538617341484713,2020-04-17 20:47:10.228090,2020-04-20 00:10:04.800000,260.54287350755925
Puerto Rico,452,23545.234166956343,2020-03-13 00:00:00.000000,1.2,2020-05-07 01:03:46.099068,2020-05-10 15:07:12.000000,1934.619017788799
Missouri,2291,7215.735554467468,2020-03-07 00:00:00.000000,1.0264762281674968,2020-04-14 18:34:12.959225,2020-04-13 16:17:45.600000,619.1278480883069
Michigan,14225,141819.28885286453,2020-03-10 00:00:00.000000,1.1067250811072211,2020-04-25 03:42:32.235728,2020-04-28 11:21:07.200000,11202.325694366235
New Hampshire,621,28915.53204160421,2020-03-02 00:00:00.000000,1.2,2020-05-06 21:46:12.570144,2020-05-10 09:53:16.800000,2357.771887979686
Delaware,593,41607.29651158968,2020-03-11 00:00:00.000000,1.2,2020-05-07 07:25:21.600051,2020-05-10 13:23:31.200000,3426.462496389591
Nevada,1758,5561.614208557832,2020-03-05 00:00:00.000000,1.0286605426927513,2020-04-14 07:05:18.867099,2020-04-14 22:43:40.800000,456.0369207566412
Ohio,3739,22794.80797168459,2020-03-09 00:00:00.000000,1.0775344794847181,2020-04-21 03:07:42.322779,2020-04-23 21:11:31.200000,1804.4123251939316
Massachusetts,11736,83508.16773096126,2020-02-01 00:00:00.000000,1.090078087468741,2020-04-22 20:38:27.156862,2020-04-25 21:37:26.400000,6620.269396504076
Oregon,999,3417.9365596508633,2020-02-28 00:00:00.000000,1.0379466647234667,2020-04-14 18:52:03.851537,2020-04-17 01:10:33.600000,272.8106733196887
Hawaii,349,12742.533580224415,2020-03-06 00:00:00.000000,1.2,2020-05-06 13:54:02.453109,2020-05-10 09:48:57.600000,1044.3585062519571
Pennsylvania,10109,323185.3790239963,2020-03-06 00:00:00.000000,1.1619906615517317,2020-05-02 22:14:21.613346,2020-05-06 06:38:52.800000,26491.537152071276
Wyoming,187,7133.63055861201,2020-03-11 00:00:00.000000,1.2,2020-05-06 19:01:23.754341,2020-05-10 15:15:50.400000,581.4133903348064
Idaho,1077,2793.0750049164967,2020-03-13 00:00:00.000000,1.0112439481048054,2020-04-13 07:29:30.449008,2020-04-12 12:27:21.600000,277.8966201256302
Montana,281,8659.617853327405,2020-03-13 00:00:00.000000,1.2,2020-05-06 11:35:07.669053,2020-05-10 12:31:40.800000,690.0824178740451
Virgin Islands,42,769.0586163049861,2020-03-14 00:00:00.000000,1.2,2020-05-05 14:47:09.314562,2020-05-10 11:58:33.600000,60.69709352783194
Mississippi,1455,17270.275959700208,2020-03-11 00:00:00.000000,1.1226434906380895,2020-04-27 01:18:17.387760,2020-04-30 22:52:19.200000,1368.598476797653
Vermont,461,25840.417949387953,2020-03-07 00:00:00.000000,1.2,2020-05-07 03:02:40.079856,2020-05-10 17:03:50.400000,2101.9795299554194
North Dakota,186,7259.140039982325,2020-03-11 00:00:00.000000,1.2,2020-05-06 17:57:43.047592,2020-05-10 13:58:04.800000,595.0181670634706
New Jersey,34124,310716.0309905008,2020-03-04 00:00:00.000000,1.0990602497240018,2020-04-24 11:31:25.706881,2020-04-27 07:19:12.000000,24731.08459597673
Louisiana,12496,567771.4313435273,2020-03-09 00:00:00.000000,1.2,2020-05-07 00:12:53.794546,2020-05-10 11:11:02.400000,46653.34698643721
South Dakota,212,11205.883398497986,2020-03-10 00:00:00.000000,1.2,2020-05-07 01:23:14.546461,2020-05-10 17:18:14.400000,912.3099628554043
Arkansas,743,2895.0786893700824,2020-03-11 00:00:00.000000,1.0471594893797342,2020-04-16 19:16:21.476848,2020-04-19 11:48:28.800000,208.80983806322922
Washington,7498,101090.88902479818,2020-01-21 00:00:00.000000,1.1602493289036366,2020-04-30 22:43:59.911889,2020-05-05 23:48:28.800000,7858.024510324258
Connecticut,5276,27462.185181540997,2020-03-08 00:00:00.000000,1.0482253285299812,2020-04-19 02:35:02.612070,2020-04-19 02:49:55.200000,2217.587876337558
Utah,1428,30859.956307689565,2020-02-25 00:00:00.000000,1.1496739666393065,2020-04-30 22:39:12.645357,2020-05-04 11:11:02.400000,2494.2119604316645
Maine,456,14402.211101639672,2020-03-12 00:00:00.000000,1.2,2020-05-06 11:14:42.874615,2020-05-10 10:26:24.000000,1153.5426149904677
New Mexico,543,32518.46573967275,2020-03-11 00:00:00.000000,1.2,2020-05-07 03:08:17.862185,2020-05-10 15:53:16.800000,2617.37251035855
Guam,223,17301.508235053912,2020-03-15 00:00:00.000000,1.2,2020-05-07 11:45:37.547074,2020-05-10 23:36:57.600000,1430.9734537464572
West Virginia,282,15977.372141838012,2020-03-17 00:00:00.000000,1.2,2020-05-07 00:20:07.329992,2020-05-10 10:52:19.200000,1312.1777427369454
Alaska,169,5995.976726779546,2020-03-12 00:00:00.000000,1.2,2020-05-06 13:45:35.879632,2020-05-10 15:28:48.000000,477.1559747641586
North Carolina,2402,16725.255016549097,2020-03-03 00:00:00.000000,1.0879530258050083,2020-04-22 07:12:32.961318,2020-04-25 16:49:26.400000,1317.8304488364902
Oklahoma,1159,31707.35888706141,2020-03-06 00:00:00.000000,1.1714976272391926,2020-05-03 12:05:29.052203,2020-05-07 01:14:52.800000,2554.5114191150105
Kentucky,917,9928.073477535185,2020-03-06 00:00:00.000000,1.1156785363810016,2020-04-26 06:41:24.173176,2020-04-29 23:49:55.200000,785.324111045837
Georgia,6383,12631.020355727365,2020-03-02 00:00:00.000000,0.9698463208971605,2020-04-07 17:16:56.216500,2020-04-09 23:28:19.200000,1405.7506116071722
Northern Mariana Islands,8,8.0,2020-03-28 00:00:00.000000,1.2,2020-04-01 08:00:00.000000,2020-04-02 00:00:00.000000,1.2
Virginia,2407,37578.24170050457,2020-03-07 00:00:00.000000,1.1296061835281541,2020-04-28 11:08:56.843803,2020-05-01 13:17:45.600000,3005.091765879149
District of Columbia,902,52265.94888345379,2020-03-07 00:00:00.000000,1.2,2020-05-07 01:06:18.251794,2020-05-10 09:44:38.400000,4242.281638578699
Arizona,2019,10711.979859426257,2020-01-26 00:00:00.000000,1.059158530825717,2020-04-18 21:54:07.617147,2020-04-21 06:04:19.200000,877.5243483211192
Maryland,3125,101524.93176026066,2020-03-05 00:00:00.000000,1.167441164300063,2020-05-03 06:04:59.160682,2020-05-06 17:39:50.400000,8224.13345346507
California,13796,70436.62854313265,2020-01-25 00:00:00.000000,1.064520820535753,2020-04-18 22:21:39.675871,2020-04-21 18:51:50.400000,5579.395765176658
South Carolina,1917,7281.84308860901,2020-03-06 00:00:00.000000,1.0448865905690607,2020-04-16 08:41:31.571242,2020-04-16 22:10:33.600000,599.4436513113535
